TİCARİ BM;BÖLGE;ÜTE;DEPO GRUBU;DEPO ŞUBESİ;GLN;ECZANE ADI;İLÇE;İL;BARKOD;ÜRÜN ADI;ADET;MF
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;As Ecza;Sancaktepe;8680001679539;Alp;Kadıköy;İstanbul;8699546020447;Redoxon 3'lü Etki 15 Efervesan Tablet;80;10
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;As Ecza;Sancaktepe;8680001679539;Alp;Kadıköy;İstanbul;8699546370580;Bepanthol Onarıcı Bakım Merhemi 30gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;As Ecza;Sancaktepe;8680001679539;Alp;Kadıköy;İstanbul;8699546358625;Bepanthol Cilt Bakım Kremi 30gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;As Ecza;Sancaktepe;8680001679539;Alp;Kadıköy;İstanbul;8699546358786;Bepanthol Derma Nem & Besleyici SPF 25 Güneş Koruyuculu Günlük Yüz Bakım Kr 50ML;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;As Ecza;Sancaktepe;8680001679539;Alp;Kadıköy;İstanbul;8699546358779;Bepanthol Derma Yoğun Nemlendirici Gece Bakım Kremi 50ML;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;As Ecza;Sancaktepe;8680001679539;Alp;Kadıköy;İstanbul;8699546358830;Bepanthol Derma Nemlendirici & Besleyici Günlük Yüz Bakım Kremi ;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001648948;Kelebek;Kadıköy;İstanbul;8699546485253;Bepanthol Derma Yoğun Nemlendirici Günlük Vücut Losyonu 200 ml ;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001648948;Kelebek;Kadıköy;İstanbul;8699546485246;Bepanthol Derma Temel Nemlendirici Günlük Vücut Losyonu 200 ml ;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001648948;Kelebek;Kadıköy;İstanbul;8699546485277;Bepanthol Derma Yoğun Nemlendirici Günlük Vücut Losyonu 400ml TR ;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001648948;Kelebek;Kadıköy;İstanbul;8699546485260;Bepanthol Derma Temel Nemlendirici Günlük Vücut Losyonu 400ml TR;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001648948;Kelebek;Kadıköy;İstanbul;8699546340057;Bepanjel GEL TUBE 50g TR;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001648948;Kelebek;Kadıköy;İstanbul;8699546358830;Bepanthol Derma Nemlendirici & Besleyici Günlük Yüz Bakım Kremi ;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001648948;Kelebek;Kadıköy;İstanbul;8699546358779;Bepanthol Derma Yoğun Nemlendirici Gece Bakım Kremi 50ML;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001648948;Kelebek;Kadıköy;İstanbul;8699546358823;Bepanthol SensiDaily Vücut Kremi 200ml;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546578108;AspiNatura Junior Cough SYRU SACH 5ml TR;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546020454;Redoxon 3'lü Etki 30 Efervesan Tablet;80;10
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546080045;Redoxon Kids 60;12;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546090396;Supradyn CoQ10 FCT 30 Film Kaplı Tablet;10;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546080069;Supradyn Kids Magic Beans TSCH 60 TR;5;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546630004;Bepanthol Lipstick Güneş Koruyucu Dudak Bakım Kremi 4,5 gr.;15;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546370580;Bepanthol Onarıcı Bakım Merhemi 30gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546020393;Supradyn 15 Effervesan Tablet ;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546340071;Bepanthol Derma Arındırıcı & Canlandırıcı Günlük Yüz Temizleme Jeli 200ML;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001632862;Renk;Kadıköy;İstanbul;8699546370412;Bepanthol Onarıcı Bakım Merhemi 50gr.;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001294916;Elif;Kadıköy;İstanbul;8699546578085;ASPINATURA Cough Syrup 120ml Bottle;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001294916;Elif;Kadıköy;İstanbul;8699546650057;Aspinatura Apricot Lemon SPRA PUB20ml TR;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001294916;Elif;Kadıköy;İstanbul;8699546578108;AspiNatura Junior Cough SYRU SACH 5ml TR;1;0
