TİCARİ BM;BÖLGE;ÜTE;DEPO GRUBU;DEPO ŞUBESİ;GLN;ECZANE ADI;İLÇE;İL;BARKOD;ÜRÜN ADI;ADET;MF
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001515967;Erenköy;Kadıköy;İstanbul;8699546630004;ASPI NATURA İzotonik Burun Spreyi 3,5% SPH 20 ML TR;14;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001296552;tanyer;Kadıköy;İstanbul;8699546370382;Bepanthol Baby Pişik Önleyici Merhem 100gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001296552;Tanyer;Kadıköy;İstanbul;8699546485260;Bepanthol Derma Temel Nemlendirici Günlük Vücut Losyonu 400ml TR;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001296552;Tanyer;Kadıköy;İstanbul;8699546485277;Bepanthol Derma Yoğun Nemlendirici Günlük Vücut Losyonu 400ml TR ;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001296552;Tanyer;Kadıköy;İstanbul;8699546020461;Redoxon Essential 1000mg TAEF TUBE 15 TR;12;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001296552;Tanyer;Kadıköy;İstanbul;8699546020386;Supradyn 30 Effervesan Tablet ;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELCUK;Ümraniye;8680001296552;Tanyer;Kadıköy;İstanbul;8699546020393;Supradyn 15 Effervesan Tablet ;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546370580;Bepanthol Onarıcı Bakım Merhemi 30gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546630004;Bepanthol Lipstick Güneş Koruyucu Dudak Bakım Kremi 4,5 gr.;15;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546358632;Bepanthol Cilt Bakım Kremi 100gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546370412;Bepanthol Onarıcı Bakım Merhemi 50gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546358786;Bepanthol Derma Nem & Besleyici SPF 25 Güneş Koruyuculu Günlük Yüz Bakım Kr 50ML;10;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546370399;Bepanthol Baby Pişik Önleyici Merhem 30gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546485253;Bepanthol Derma Yoğun Nemlendirici Günlük Vücut Losyonu 200 ml ;10;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546020393;Supradyn 15 Effervesan Tablet ;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546350223;BepantholSensiderm Kaşıntı Giderici Krem 20g.;15;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546080045;Redoxon Kids 60;60;8
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546020461;Redoxon Essential 1000mg TAEF TUBE 15 TR;36;5
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546578078;ASPINATURA Kids Cough Syrup 120ml Bottle;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546578085;ASPINATURA Cough Syrup 120ml Bottle;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546020454;Redoxon 3'lü Etki 30 Efervesan Tablet;80;10
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001522453;Elit;Kadıköy;İstanbul;8699546020447;Redoxon 3'lü Etki 15 Efervesan Tablet;80;10
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001439591;Kamelya;Kadıköy;İstanbul;8699546020447;Redoxon 3'lü Etki 15 Efervesan Tablet;80;10
